Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
"1030511","Synel'nykove","Synel'nykove,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030512","Tal'ne","Tal'ne,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030513","Tarashcha","Tarashcha,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030514","Taroms'ke","Taroms'ke,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030515","Tatarbunary","Tatarbunary,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030516","Tavriis'k","Tavriis'k,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030518","Terebovlya","Terebovlya,Ternopil Oblast,Ukraine","21292","UA","City",Active
"1030519","Ternivka","Ternivka,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030520","Tetiiv","Tetiiv,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030521","Tokmak","Tokmak,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030523","Trostyanets'","Trostyanets',Sumy Oblast,Ukraine","21124","UA","City",Active
"1030524","Truskavets","Truskavets,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030525","Oleshky","Oleshky,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030526","Tul'chyn","Tul'chyn,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030527","Ukrainka","Ukrainka,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030529","Uman'","Uman',Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030530","Uzyn","Uzyn,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030532","Vasyl'kivka","Vasyl'kivka,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030533","Vasylivka","Vasylivka,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030534","Vasylkiv","Vasylkiv,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030535","Vatutine","Vatutine,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030536","Velykodolyns'ke","Velykodolyns'ke,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030537","Verkhn'odniprovs'k","Verkhn'odniprovs'k,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030538","Vesele","Vesele,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030539","Vil'nyans'k","Vil'nyans'k,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030540","Vil'nohirs'k","Vil'nohirs'k,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030542","Volochys'k","Volochys'k,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030543","Volodymyr","Volodymyr,Volyn Oblast,Ukraine","21110","UA","City",Active
"1030544","Vovchans'k","Vovchans'k,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030545","Voznesens'k","Voznesens'k,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030547","Vynnyky","Vynnyky,Lviv Oblast,Ukraine","21121","UA","City",Active
